Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q02241|KIF23_HUMAN	sp|Q02241|KIF23_HUMAN	4	4	4		1	4	4	4	4	3	3	2	3	3	4	3	3	2	3	3	4	3	3	2	3	3	6.2	6.2	6.2	110.06	960	960	0	39.373	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.2	4.4	4.4	3	4.4	4.4	20030000	5766200	4120600	5422200	1077600	1673800	1969400	5116600	5563700	4796500	1539500	1457800	1416000	4	3	3	0	0	0	10				907	415;1489;1628;6486	True;True;True;True	420;1512;1654;6611	2466;2467;2468;2469;2470;8958;8959;8960;8961;8962;8963;9803;39886;39887;39888;39889;39890;39891	2541;2542;2543;9032;9033;9034;9871;39875;39876;39877	2543;9032;9871;39875		
sp|Q02413|DSG1_HUMAN	sp|Q02413|DSG1_HUMAN	7	7	7		1	7	7	7	5	0	2	6	5	2	5	0	2	6	5	2	5	0	2	6	5	2	9.8	9.8	9.8	113.75	1049	1049	0	50.87	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching	7.7	0	2.6	9.8	8.3	2.6	26001000	9721800	0	2714300	7993700	4544200	1027500	12320000	0	0	5427100	2900100	2137500	6	0	1	2	1	0	10				908	589;1643;3180;3436;5598;7306;8193	True;True;True;True;True;True;True	596;1669;3226;3491;5708;7447;8353	3512;3513;3514;9883;9884;9885;9886;9887;9888;19326;19327;20908;20909;20910;20911;20912;34430;45215;45216;50683;50684;50685;50686	3582;9928;9929;19577;21148;21149;21150;34684;45419;50977	3582;9928;19577;21150;34684;45419;50977	144	425
sp|Q02543|RL18A_HUMAN	sp|Q02543|RL18A_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9.7	9.7	9.7	20.762	176	176	0	11.942	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.7	9.7	9.7	9.7	9.7	9.7	15160000	1795200	1422100	3226300	3070500	2271900	3373500	1728000	1663700	2879900	3107900	2225600	2803100	1	0	1	2	1	2	7				909	2176;5210	True;True	2210;5310	13045;13046;13047;13048;13049;13050;31909;31910;31911;31912;31913;31914	13119;13120;13121;13122;31988;31989;31990	13122;31990		
sp|Q02790|FKBP4_HUMAN	sp|Q02790|FKBP4_HUMAN	26	26	26		1	26	26	26	21	24	23	25	25	25	21	24	23	25	25	25	21	24	23	25	25	25	49.5	49.5	49.5	51.804	459	459	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41	47.7	47.7	49.5	47.7	47.7	825380000	94421000	88823000	131140000	201010000	145810000	164180000	115760000	119330000	124900000	158870000	133210000	134140000	28	30	32	26	32	38	186				910	654;655;739;928;1544;1864;2063;2090;2091;2264;2266;2267;2272;2273;2274;2276;3542;3607;3700;4866;4966;5879;7298;7299;7300;7511	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	663;664;749;942;1567;1892;2095;2122;2123;2299;2301;2302;2307;2308;2309;2311;3597;3663;3756;4938;5045;5994;7439;7440;7441;7659	3911;3912;3913;3914;3915;3916;3917;3918;3919;3920;3921;3922;3923;3924;3925;3926;4433;4434;4435;4436;4437;4438;5573;5574;5575;5576;5577;5578;9276;9277;9278;9279;9280;11182;11183;11184;11185;11186;11187;12347;12348;12349;12350;12351;12352;12506;12507;12508;12509;12510;12511;12512;12513;12514;12515;12516;13549;13550;13551;13552;13553;13558;13559;13560;13561;13562;13563;13564;13565;13566;13567;13568;13569;13589;13590;13591;13592;13593;13594;13595;13596;13597;13598;13599;13600;13601;13602;13603;13604;13605;13606;13607;13608;13609;13610;13611;13612;13613;13614;13620;13621;13622;13623;13624;13625;13626;13627;13628;13629;13630;21529;21530;21531;21532;21533;21534;21895;21896;21897;21898;21899;21900;22540;22541;22542;22543;22544;22545;29729;30345;30346;30347;30348;30349;30350;36180;36181;36182;36183;36184;36185;36186;36187;36188;36189;45158;45159;45160;45161;45162;45163;45164;45165;45166;45167;45168;45169;45170;45171;45172;45173;45174;45175;45176;45177;45178;45179;45180;45181;45182;45183;45184;45185;46516;46517;46518;46519;46520;46521	3967;3968;3969;3970;3971;3972;3973;3974;3975;3976;3977;3978;3979;3980;3981;3982;3983;3984;3985;3986;3987;3988;3989;3990;4569;4570;4571;4572;4573;4574;4575;4576;4577;5679;5680;5681;5682;5683;5684;5685;5686;5687;5688;9361;11195;11196;11197;11198;11199;12354;12355;12356;12357;12503;12504;12505;12506;12507;12508;12509;13612;13616;13617;13618;13619;13620;13621;13622;13623;13624;13625;13626;13627;13628;13629;13630;13631;13643;13644;13645;13646;13647;13648;13649;13650;13651;13652;13653;13654;13655;13656;13657;13658;13659;13660;13661;13662;13663;13664;13665;13666;13667;13668;13669;13670;13676;13677;13678;13679;13680;13681;13682;13683;13684;13685;13686;13687;13688;13689;13690;21735;21736;21737;21738;21739;22044;22045;22046;22659;29777;30398;30399;30400;30401;30402;30403;30404;30405;30406;30407;30408;36248;36249;36250;36251;36252;36253;45374;45375;45376;45377;45378;45379;45380;45381;45382;45383;45384;45385;45386;45387;45388;45389;45390;45391;45392;45393;45394;45395;45396;45397;45398;45399;45400;45401;45402;45403;45404;45405;45406;45407;45408;45409;46811;46812;46813;46814;46815;46816	3976;3988;4571;5684;9361;11199;12355;12503;12506;13612;13624;13627;13643;13661;13670;13690;21739;22046;22659;29777;30408;36248;45387;45401;45404;46811		
sp|Q02809|PLOD1_HUMAN	sp|Q02809|PLOD1_HUMAN	26	26	26		1	26	26	26	23	25	24	25	24	25	23	25	24	25	24	25	23	25	24	25	24	25	49.2	49.2	49.2	83.549	727	727	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.1	47	45.3	47	44	47	1339200000	175950000	154260000	228620000	304610000	205080000	270670000	190490000	177040000	192360000	266860000	196790000	214940000	47	42	46	45	47	55	282				911	538;568;1977;1986;2406;2919;3080;3081;3369;3382;4586;4752;4860;4890;5279;5477;5745;5989;6032;6077;6427;6428;7025;7026;8019;8039	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	545;575;2005;2015;2016;2443;2961;3124;3125;3422;3435;4656;4822;4932;4962;5380;5583;5856;6104;6148;6196;6552;6553;7159;7160;8176;8196	3205;3206;3207;3208;3209;3210;3389;3390;3391;3392;3393;3394;11821;11881;11882;11883;11884;11885;11886;11887;11888;11889;11890;14443;14444;14445;14446;14447;14448;17760;17761;17762;17763;17764;17765;18726;18727;18728;18729;18730;18731;18732;18733;18734;18735;18736;18737;18738;18739;18740;18741;18742;18743;18744;18745;18746;18747;20523;20524;20525;20526;20527;20528;20595;20596;20597;28014;28015;28016;28017;28018;28019;28020;28021;28022;28023;28024;28025;28988;28989;28990;28991;28992;28993;28994;28995;28996;28997;28998;28999;29683;29684;29685;29686;29687;29688;29689;29690;29691;29692;29693;29694;29867;29868;29869;29870;29871;29872;32371;32372;32373;32374;32375;32376;33673;33674;33675;33676;33677;33678;35284;35285;35286;35287;35288;35289;35290;35291;35292;35293;35294;35295;36841;36842;36843;36844;36845;36846;37101;37102;37103;37104;37105;37106;37365;37366;37367;37368;37369;37370;39521;39522;39523;39524;39525;39526;39527;39528;39529;39530;39531;39532;39533;39534;39535;39536;39537;39538;43266;43267;43268;43269;43270;43271;43272;43273;43274;43275;43276;43277;43278;43279;43280;43281;43282;43283;43284;43285;43286;43287;43288;43289;43290;43291;43292;43293;49598;49599;49600;49601;49602;49603;49722;49723;49724;49725;49726;49727;49728;49729;49730;49731;49732;49733	3253;3254;3255;3256;3257;3258;3259;3260;3261;3262;3263;3428;3429;3430;3431;3432;3433;11839;11916;11917;11918;11919;11920;11921;11922;11923;11924;11925;14537;14538;14539;14540;14541;14542;17902;17903;17904;17905;17906;17907;17908;17909;17910;17911;17912;17913;18947;18948;18949;18950;18951;18952;18953;18954;18955;18956;18957;18958;18959;18960;18961;18962;18963;18964;18965;18966;18967;18968;18969;18970;18971;18972;18973;18974;18975;18976;18977;18978;18979;18980;18981;18982;18983;18984;18985;18986;20776;20777;20778;20779;20780;20781;20839;20840;20841;28035;28036;28037;28038;28039;28040;28041;28042;28043;28044;28045;28046;28935;28936;28937;28938;28939;28940;28941;28942;28943;28944;28945;28946;28947;28948;28949;28950;28951;28952;28953;28954;28955;28956;28957;28958;29732;29733;29734;29735;29736;29737;29738;29739;29740;29741;29742;29743;29744;29745;29746;29747;29748;29749;29908;29909;29910;29911;29912;32522;32523;32524;32525;32526;32527;32528;32529;32530;32531;33862;33863;33864;33865;33866;33867;33868;33869;33870;35406;35407;35408;35409;35410;35411;35412;35413;35414;35415;35416;36828;36829;36830;36831;36832;36833;36834;36835;37149;37150;37151;37152;37153;37405;37406;37407;37408;37409;37410;37411;37412;37413;37414;37415;37416;37417;37418;37419;37420;37421;37422;39580;39581;39582;39583;39584;39585;39586;39587;39588;39589;39590;39591;39592;39593;39594;43287;43288;43289;43290;43291;43292;43293;43294;43295;43296;43297;43298;43299;43300;43301;43302;43303;43304;43305;43306;43307;43308;43309;43310;43311;43312;43313;43314;43315;43316;43317;43318;43319;43320;43321;43322;43323;43324;43325;43326;43327;43328;49897;49898;49899;50029;50030;50031;50032;50033;50034;50035	3254;3433;11839;11925;14540;17905;18969;18986;20781;20840;28041;28951;29741;29912;32530;33864;35416;36831;37152;37405;39581;39594;43290;43314;49898;50033	145	623
sp|Q02818|NUCB1_HUMAN	sp|Q02818|NUCB1_HUMAN	35	35	35		1	35	35	35	29	30	29	31	28	33	29	30	29	31	28	33	29	30	29	31	28	33	61.8	61.8	61.8	53.879	461	461	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	55.7	57.5	55.5	59.7	54.2	61.8	2355700000	323800000	283880000	364700000	554520000	353650000	475140000	343990000	316100000	318630000	475170000	364040000	423990000	39	37	41	44	46	59	266				912	330;945;961;1339;1340;1473;1540;1764;1765;1857;1923;1924;1925;3622;3623;3624;3736;4338;4521;4678;4838;4839;4940;5608;6705;6706;7587;7588;7589;7807;7808;8065;8066;8082;8083	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	334;959;975;1360;1361;1496;1563;1790;1791;1885;1951;1952;1953;3678;3679;3680;3792;4404;4590;4748;4910;4911;5015;5016;5718;6831;6832;7738;7739;7740;7960;7961;8222;8223;8239;8240	1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;5672;5673;5674;5675;5676;5677;5678;5679;5680;5681;5682;5683;5774;5775;5776;5777;5778;5779;8077;8078;8079;8080;8081;8082;8083;8866;8867;8868;8869;8870;8871;9249;9250;9251;9252;9253;9254;9255;9256;9257;9258;9259;9260;10580;10581;10582;10583;10584;10585;10586;10587;10588;11140;11141;11142;11143;11144;11516;11517;11518;11519;11520;11521;11522;11523;11524;11525;11526;11527;11528;11529;11530;11531;11532;11533;11534;11535;11536;11537;11538;11539;11540;11541;11542;11543;11544;11545;21987;21988;21989;21990;21991;21992;21993;21994;21995;21996;21997;21998;21999;22000;22001;22002;22003;22004;22005;22006;22007;22008;22009;22010;22777;22778;22779;22780;22781;26520;26521;26522;26523;26524;26525;27618;27619;27620;27621;27622;27623;28558;28559;28560;29556;29557;29558;29559;29560;29561;29562;29563;29564;29565;29566;29567;29568;29569;29570;29571;29572;30179;30180;30181;30182;30183;30184;30185;30186;30187;30188;30189;30190;30191;34479;34480;34481;34482;34483;34484;34485;34486;34487;34488;34489;34490;34491;41271;41272;41273;41274;41275;46972;46973;46974;46975;46976;46977;46978;46979;46980;46981;46982;46983;46984;46985;46986;46987;46988;48308;48309;48310;48311;48312;48313;48314;48315;49895;49896;49897;49898;49899;49900;49901;49902;49903;49904;49905;49906;49997;49998;49999;50000;50001;50002;50003;50004;50005;50006;50007;50008;50009;50010;50011;50012;50013;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025	1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;5760;5761;5762;5763;5764;5765;5766;5833;5834;5835;5836;5837;5838;5839;5840;5841;5842;5843;5844;5845;5846;5847;5848;5849;5850;5851;5852;5853;5854;5855;5856;8199;8200;8201;8202;8203;8204;8205;8206;8933;8934;8935;8936;9343;9344;9345;9346;9347;9348;9349;9350;9351;10584;10585;10586;10587;10588;10589;10590;10591;11151;11152;11528;11529;11530;11531;11532;11533;11534;11535;11536;11537;11538;11539;11540;11541;11542;11543;11544;11545;11546;11547;11548;11549;11550;11551;11552;11553;11554;11555;11556;11557;11558;11559;11560;11561;11562;11563;11564;22123;22124;22125;22126;22127;22128;22129;22130;22131;22132;22133;22134;22135;22136;22137;22138;22139;22140;22141;22142;22143;22144;22145;22146;22147;22148;22149;22854;26532;26533;26534;26535;26536;26537;27662;27663;27664;27665;27666;27667;27668;27669;28546;28547;28548;29607;29608;29609;29610;29611;29612;29613;29614;29615;29616;29617;29618;29619;29620;29621;29622;29623;29624;29625;29626;29627;29628;29629;29630;29631;29632;29633;29634;29635;29636;29637;29638;29639;30239;30240;30241;30242;30243;30244;30245;34733;34734;34735;34736;34737;34738;34739;34740;34741;34742;34743;34744;34745;34746;34747;34748;41242;41243;41244;47338;47339;47340;47341;47342;47343;47344;47345;47346;47347;47348;47349;47350;47351;47352;47353;47354;48673;48674;48675;48676;48677;50231;50232;50233;50234;50235;50236;50237;50238;50239;50240;50241;50315;50316;50317;50318;50319;50320;50321;50322;50323;50324;50325;50326;50327;50328;50329	1982;5762;5844;8202;8206;8933;9350;10584;10585;11151;11539;11550;11564;22125;22141;22149;22854;26535;27665;28546;29617;29638;30245;34746;41242;41244;47346;47350;47352;48676;48677;50233;50239;50322;50327	146	119
sp|Q02878|RL6_HUMAN	sp|Q02878|RL6_HUMAN	6	6	6		1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	29.2	29.2	29.2	32.728	288	288	0	75.186	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.2	29.2	29.2	29.2	29.2	29.2	166030000	23107000	14906000	26062000	52681000	21935000	27338000	18723000	25454000	24502000	30638000	24902000	35466000	6	5	7	5	8	9	40				913	300;610;2891;5675;6525;8213	True;True;True;True;True;True	304;618;2933;5786;6650;8373	1738;1739;1740;1741;1742;1743;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;17527;17528;17529;17530;17531;17532;34867;34868;34869;34870;34871;34872;40135;40136;40137;40138;40139;40140;50812;50813;50814;50815;50816;50817	1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;3716;3717;3718;3719;3720;3721;3722;3723;3724;17606;17607;17608;17609;17610;35093;40097;40098;40099;40100;40101;40102;40103;51082;51083;51084;51085;51086;51087	1790;3717;17610;35093;40099;51087		
sp|Q02880|TOP2B_HUMAN	sp|Q02880|TOP2B_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.6	2.6	2.6	183.26	1626	1626	0	13.705	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.6	2.6	2.6	2.6	2.6	2.6	19455000	2367400	1967900	2525900	5356400	3096000	4141100	2221100	2062200	2514600	5450900	3117100	3215700	1	0	2	2	2	2	9				914	3826;7737	True;True	3882;7889	23336;23337;23338;23339;23340;23341;47859;47860;47861;47862;47863;47864	23426;23427;23428;23429;23430;48204;48205;48206;48207	23428;48205		
sp|Q03252|LMNB2_HUMAN	sp|Q03252|LMNB2_HUMAN	9	9	9		1	9	9	9	7	7	6	8	7	9	7	7	6	8	7	9	7	7	6	8	7	9	16	16	16	67.688	600	600	0	76.504	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.5	14.5	12.5	14	12.7	16	81999000	11561000	11196000	12429000	12985000	12845000	20982000	12780000	13027000	12112000	12515000	12448000	15269000	4	3	4	2	5	11	29				915	377;456;457;2473;3914;5088;6110;6526;7065	True;True;True;True;True;True;True;True;True	382;461;462;2510;3970;5179;6229;6651;7199	2225;2226;2227;2720;2721;2722;2723;2724;2725;2726;2727;2728;14884;14885;14886;14887;14888;14889;23900;23901;23902;23903;23904;23905;31103;31104;31105;31106;31107;31108;37533;37534;37535;37536;37537;37538;40141;40142;43525;43526;43527;43528;43529;43530	2272;2822;2823;2824;2825;14977;14978;14979;14980;14981;14982;23979;23980;23981;23982;31176;31177;31178;37586;37587;37588;37589;37590;37591;40104;43592;43593;43594;43595;43596;43597	2272;2822;2823;14977;23980;31178;37589;40104;43595		
sp|Q04323|UBXN1_HUMAN	sp|Q04323|UBXN1_HUMAN	2	2	2		1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	9.4	9.4	9.4	33.325	297	297	0	47.812	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	4	9.4	4	4	4	9.4	11451000	1313700	2174700	1632900	2237700	1201000	2890900	0	0	0	0	0	2312000	1	0	1	0	0	1	3				916	149;4513	True;True	151;4582	905;906;27573;27574;27575;27576;27577;27578	985;27619;27620	985;27619		
sp|Q04446|GLGB_HUMAN	sp|Q04446|GLGB_HUMAN	12	12	12		1	12	12	12	12	11	11	10	9	9	12	11	11	10	9	9	12	11	11	10	9	9	26.8	26.8	26.8	80.473	702	702	0	107.88	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.8	24.8	24.8	22.9	20.9	20.8	168840000	33139000	29566000	30304000	26583000	22665000	26581000	29784000	35019000	29105000	21353000	21662000	25476000	13	14	14	3	9	12	65				917	226;1344;3521;3926;3986;4241;4325;5240;5612;5968;7134;8010	True;True;True;True;True;True;True;True;True;True;True;True	229;1365;3576;3982;4045;4306;4391;5341;5722;6083;7272;8166	1314;1315;1316;8103;8104;8105;8106;8107;8108;21419;21420;21421;21422;21423;23969;23970;23971;23972;23973;23974;24355;24356;24357;24358;24359;24360;25926;25927;25928;25929;25930;25931;26447;26448;26449;26450;26451;26452;26453;32103;32104;32105;32106;34507;34508;34509;34510;34511;34512;36685;36686;36687;36688;36689;36690;43987;43988;43989;43990;43991;43992;49541;49542	1363;8214;8215;8216;8217;8218;21637;21638;21639;21640;21641;21642;21643;21644;21645;21646;21647;21648;24061;24062;24063;24064;24452;24453;24454;24455;26022;26476;26477;26478;26479;26480;26481;26482;26483;26484;26485;26486;26487;26488;26489;26490;32193;32194;32195;34764;34765;34766;34767;36651;36652;36653;36654;36655;36656;36657;44037;44038;44039;44040;44041;44042;44043;44044;49847	1363;8217;21646;24061;24452;26022;26488;32193;34764;36652;44038;49847		
sp|Q04637|IF4G1_HUMAN	sp|Q04637|IF4G1_HUMAN	12	12	12		1	12	12	12	10	9	8	8	10	12	10	9	8	8	10	12	10	9	8	8	10	12	10.8	10.8	10.8	175.49	1599	1599	0	127.13	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.1	8.7	7.5	7.6	8.9	10.8	121380000	18999000	15774000	14136000	17008000	22582000	32878000	16375000	15953000	14208000	23038000	21685000	24094000	4	4	4	4	6	15	37				918	286;918;1346;1347;1535;2019;2638;3404;3484;6554;7253;7262	True;True;True;True;True;True;True;True;True;True;True;True	289;932;1367;1368;1558;2050;2676;3458;3539;6679;7393;7402	1642;1643;1644;1645;1646;1647;5525;5526;5527;5528;5529;8113;8114;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;9226;9227;12083;12084;12085;15880;15881;15882;15883;15884;15885;20723;20724;20725;20726;20727;20728;21194;21195;21196;21197;21198;40321;40322;40323;40324;44861;44862;44863;44864;44865;44918;44919;44920;44921;44922	1680;1681;1682;1683;1684;1685;1686;5640;8220;8221;8222;8223;8224;8225;8226;8227;8228;8229;8230;8231;9324;12104;15940;15941;20949;20950;20951;20952;20953;20954;20955;21434;21435;21436;21437;40321;45084;45085;45129	1682;5640;8226;8231;9324;12104;15940;20955;21436;40321;45085;45129		
sp|Q04760|LGUL_HUMAN	sp|Q04760|LGUL_HUMAN	8	8	8		1	8	8	8	7	7	7	8	6	8	7	7	7	8	6	8	7	7	7	8	6	8	53.8	53.8	53.8	20.777	184	184	0	81.885	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50	50	50	53.8	37.5	53.8	264230000	42637000	38391000	45734000	35153000	32880000	69440000	42874000	47557000	39540000	32697000	38862000	49464000	8	10	6	6	8	12	50				919	852;2104;2105;2460;2987;3598;6250;7465	True;True;True;True;True;True;True;True	864;2137;2138;2497;3030;3654;6370;7611	5138;5139;5140;5141;5142;5143;5144;12604;12605;12606;12607;12608;12609;12610;12611;12612;12613;12614;14796;14797;14798;14799;14800;14801;14802;18167;18168;18169;21848;21849;21850;21851;21852;38418;38419;38420;38421;38422;38423;46222;46223;46224;46225;46226;46227	5286;5287;5288;5289;5290;5291;5292;5293;5294;5295;5296;12619;12620;12621;12622;12623;12624;12625;12626;12627;12628;12629;12630;12631;12632;14888;14889;18319;18320;18321;18322;22004;22005;22006;38491;38492;38493;38494;38495;38496;38497;38498;38499;38500;46533;46534;46535;46536;46537;46538	5295;12629;12632;14889;18322;22004;38492;46535		
sp|Q04828|AK1C1_HUMAN	sp|Q04828|AK1C1_HUMAN	12	6	0		1	12	6	0	11	10	11	12	10	11	6	5	6	6	5	5	0	0	0	0	0	0	44.6	27.2	0	36.788	323	323	0	88.654	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.1	40.6	42.1	44.6	40.6	43	275390000	34925000	39991000	32437000	63060000	46592000	58385000	39000000	42035000	26432000	48483000	40329000	52427000	7	5	5	6	7	8	38				920	1285;2822;3416;3908;4462;5325;5326;5684;5733;5970;6223;6933	False;False;True;False;True;True;True;False;True;False;True;False	1306;2862;3470;3964;4529;4530;5427;5428;5795;5844;6085;6343;7065	7723;7724;17023;17024;17025;17026;17027;17028;17029;17030;17031;17032;17033;20799;20800;20801;20802;20803;20804;23868;23869;23870;23871;23872;23873;27267;27268;27269;27270;27271;27272;27273;27274;27275;27276;32656;32657;32658;32659;32660;32661;32662;32663;32664;34919;34920;34921;34922;34923;34924;35209;35210;35211;35212;35213;35214;35215;35216;35217;35218;35219;35220;36697;36698;36699;36700;36701;36702;38201;38202;38203;38204;38205;38206;42697;42698;42699;42700;42701;42702	7897;17073;17074;17075;17076;17077;17078;17079;17080;17081;17082;17083;17084;17085;17086;21043;21044;21045;21046;21047;21048;21049;23940;23941;23942;23943;23944;23945;23946;27329;27330;27331;27332;27333;27334;27335;27336;32805;32806;32807;32808;32809;32810;35135;35136;35137;35138;35139;35140;35141;35142;35143;35144;35145;35146;35147;35148;35149;35150;35151;35345;35346;35347;35348;35349;35350;35351;35352;35353;35354;35355;36662;36663;36664;36665;38297;38298;38299;38300;38301;38302;42756;42757;42758;42759;42760;42761;42762;42763	7897;17086;21047;23941;27336;32809;32810;35151;35354;36665;38299;42758	120	16
sp|Q04837|SSBP_HUMAN	sp|Q04837|SSBP_HUMAN	4	4	4		1	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	34.5	34.5	34.5	17.259	148	148	0	39.795	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.1	34.5	34.5	34.5	34.5	34.5	32272000	4473200	4114100	4070000	5233000	5290100	9091600	5759600	4038300	3484200	5995500	4262900	7037600	1	1	1	3	1	4	11				921	3021;5382;5575;5797	True;True;True;True	3065;5486;5685;5908	18380;18381;18382;18383;18384;18385;33044;33045;33046;33047;33048;33049;34286;34287;34288;34289;34290;34291;35638;35639;35640;35641;35642	18578;18579;33205;34549;34550;34551;34552;34553;34554;35737;35738	18579;33205;34553;35737		
sp|Q04917|1433F_HUMAN	sp|Q04917|1433F_HUMAN	6	4	4		1	6	4	4	6	6	6	6	5	6	4	4	4	4	3	4	4	4	4	4	3	4	27.2	23.2	23.2	28.218	246	246	0	45.159	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.2	27.2	27.2	27.2	20.7	27.2	83809000	9382200	12469000	11660000	21146000	12203000	16949000	7358200	14979000	11996000	18210000	13937000	14328000	2	4	5	4	4	5	24				922	730;731;1096;3894;5313;5443	True;True;False;True;False;True	740;741;1115;1116;3950;5415;5549	4385;4386;4387;4388;4389;4390;4391;4392;4393;4394;4395;4396;6625;6626;6627;6628;6629;6630;6631;6632;6633;6634;6635;6636;23779;23780;23781;23782;23783;32579;32580;32581;32582;32583;32584;32585;32586;32587;32588;32589;32590;33474;33475;33476;33477;33478;33479	4521;4522;4523;4524;4525;4526;4527;4528;4529;4530;4531;4532;4533;4534;4535;6811;6812;6813;6814;6815;6816;6817;6818;6819;6820;6821;6822;6823;6824;6825;6826;23840;23841;23842;32743;32744;32745;32746;32747;32748;32749;32750;32751;32752;32753;32754;32755;32756;32757;33651;33652;33653;33654;33655;33656	4521;4531;6814;23842;32748;33651	110	223
